config,binary_acc,binary_incl,ternary_acc,bucket_acc,same_dir_acc,mse_sent,rougeL,inf_time_s,ECE
greedy,0.43,0.43,0.43,0.32,0.43,14.4611,0.1444,7.644,0.07
self-consistency (N=5),0.4796,0.47,0.47,0.34,0.47,15.1923,0.1421,52.519,0.228
